,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
135728,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Box Set,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135729,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Unofficial Release,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135736,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,Vinyl,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135737,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,"7""","Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135738,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,45 RPM,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135739,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,EP,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135740,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,CD,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135741,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,Box Set,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135742,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,Limited Edition,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135743,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,All Media,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135744,74500,2020,15605527,Elvis* - Elvis' The Alternate Golden Records Extended Play Collection,Unofficial Release,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",8,10
135745,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Vinyl,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135746,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",LP,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135747,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Compilation,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135748,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Limited Edition,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135749,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Stereo,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135750,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",CD,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135751,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Box Set,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135752,74501,2020,15610651,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Unofficial Release,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",22,1
135768,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Vinyl,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
135769,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",LP,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
135770,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Compilation,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
